Hat Number,Size
001,7 1/8
002,7
003,6 3/4
004,6 3/4
005,7 
006,
007,6 3/4
008,6 3/4
009,6 3/4
010,6 7/8
011,6 3/4
012,6 7/8
013,6 7/8
014,6 7/8
016,7 1/8
017,7 5/8
018,6 7/8
019,6 7/8
021,6 7/8
022,7 1/8
023,7
024,7
025,6 3/4
026,7 
027,7 1/8
028,7 3/8
029,7 1/8
030,7
031,7
032,7 3/8
033,7 5/8
034,7
035,6 7/8
036,7
037,7 1/8
038,6 7/8
039,7 1/8
040,7 1/8
041,7
042,7 1/8
043,7 1/8
044,7 1/8
045,6 7/8
046,7 1/8
047,7 1/4
048,7 1/4
049,
050,7 1/4
051,7 1/4
052,7 1/4
053,6 7/8
054,7 1/4
055,7
056, 7 3/8
057, 7 3/8
058,7 1/8
059,7 3/8
060,7 3/8
061,7 3/8
062,7 3/8
063,
064,7 3/4
065,7 1/8
066,7 1/8
067,7 3/8
068,7 3/8
069,7
070,7 1/2
071,7 1/2
072,7 3/8
073,7 1/8
074,7 1/8
075,7 1/8
076,7
077,7 1/2
078,7 1/2
079,7 3/8
080,7 1/8
081,7 1/2
082,7 1/2
083,7 5/8
084,7 5/8
085,6 7/8
086,7 5/8
087,7 5/8
088,7 5/8
089,7 5/8
090,7 1/8
091,7 3/8
092,7 3/4
093,7 3/8
094,7 1/4
095,7 3/8
096,7 3/4
097,7 3/4
098,7 3/4
099,7 1/2
100,7 1/8
