Name,Height,Waist,Seat,Neck,Neck to seat,Insleeve,Inseam,Outseam,Gender
001,61,26,36,15,25,16.5,27,36,F,
002,65,24,34,15,26.5,17.5,30,40,F,
003,62,28,38,15.5,25,16.5,27,36,F,
004,62,28,38,15,25,16.5,27,36,F,
005,63,26,38,15.5,26.5,17.5,30,40,F,
006,64,26,38,15.5,26.5,17.5,30,40,F,
007,66,26,38,15.5,26.5,17.5,30,40,F,
008,66,26,38,15.5,26.5,17.5,30,40,F,
009,62,30,40,16,25,16.5,27,36,F,
010,64,28,40,16,26.5,17.5,29,39,F,
011,66,28,40,16,26.5,17.5,29,39,F,
012,66,28,40,16,26.5,17.5,29,39,F,
013,70,28,40,16,28,18.5,31,42,F,
014,70,28,40,16,28,18.5,31,42,F,
015,71,28,40,16,29.5,18.5,33,45,F,
016,66,30,42,16.5,26.5,17.5,29,39,F,
017,63,30,42,16.5,26.5,17.5,29,39,F,
018,66,30,42,16.5,26.5,17.5,29,39,F,
019,66,30,42,16.5,26.5,17.5,29,39,F,
020,67,30,42,16.5,28,18.5,31,42,F,
021,70,30,42,16.5,28,18.5,31,42,F,
022,64,32,44,17,26.5,17.5,29,39,F,
023,66,32,44,17,26.5,17.5,29,39,F,
024,66,32,44,17,26.5,17.5,29,39,F,
025,69,32,44,17,28,18.5,31,42,F,
026,70,32,44,17,28,18.5,31,38,F,
027,65,34,46,17.5,26.5,16.5,28,38,F,
028,64,34,46,17.5,26.5,16.5,28,38,F,
029,65,34,46,17.5,26.5,16.5,28,38,F,
030,66,34,46,17.5,26.5,16.5,28,38,F,
031,66,34,46,17.5,26.5,16.5,28,38,F,
032,68,34,46,17.5,28,18.5,31,42,F,
033,68,34,46,17.5,28,18.5,31,42,F,
034,67,34,46,17.5,28,18.5,31,42,F,
035,67,34,46,17.5,28,18.5,31,42,F,
036,70,34,46,17.5,28,18.5,31,42,F,
037,66,36,48,17.5,26.5,16.5,28,38,F,
038,66,38,48,17.5,26.5,16.5,28,38,F,
039,66,38,48,17.5,26.5,16.5,28,38,F,
040,70,36,48,17.5,28,18.5,31,42,F,
041,68,38,48,17.5,28,18.5,31,42,F,
042,70,38,48,17.5,28,18.5,31,42,F,
043,66,40,50,18,26.5,16.5,28,38,F,
044,66,40,50,18,26.5,16.5,28,38,F,
045,69,40,50,18,28,17.5,30,41,F,
046,70,40,50,18,28,17.5,30,41,F,
047,66,42,52,18,26.5,16.5,28,38,F,
048,66,42,52,18,26.5,16.5,28,38,F,
049,68,42,52,18,28,17.5,30,41,F,
050,66,44,54,18.5,26.5,16.5,28,38,F,
051,70,44,54,18.5,28,17.5,30,41,F,
052,66,46,56,18.5,26.5,16.5,28,38,F,
053,65,26,34,16.5,28,17,28,37,M,
054,66,28,36,17,28,17,28,37,M,
055,68,28,36,17,30,18,32,42,M,
056,70,28,36,17,30,18,32,42,M,
057,70,28,36,17,30,18,32,42,M,
058,69,30,38,17.5,30,18,32,42,M,
059,70,30,38,17.5,30,18,32,42,M,
060,70,30,38,17.5,30,18,32,42,M,
061,70,30,38,17.5,30,18,32,42,M,
062,71,30,38,17.5,32,20,34,45,M,
063,71,30,38,17.5,32,20,34,45,M,
064,68,32,40,18,30,18,30,40,M,
065,70,32,40,18,30,18,30,40,M,
066,70,32,40,18,30,18,30,40,M,
067,70,32,40,18,30,18,30,40,M,
068,70,32,40,18,30,18,30,40,M,
069,72,32,40,18,32,20,32,43,M,
070,74,32,40,18,32,20,32,43,M,
071,74,32,40,18,32,20,32,43,M,
072,66,34,42,18.5,28,17,28,37,M,
073,68,34,42,18.5,30,18,30,40,M,
074,69,34,42,18.5,30,18,30,40,M,
075,68,34,42,18.5,30,18,30,40,M,
076,67,34,42,18.5,30,18,30,40,M,
077,70,34,42,18.5,30,18,30,40,M,
078,70,34,42,18.5,30,18,30,40,M,
079,73,34,42,18.5,32,20,32,43,M,
080,72,34,42,18.5,32,20,32,43,M,
081,74,34,42,18.5,32,20,32,43,M,
082,74,34,42,18.5,32,20,32,43,M,
083,74,34,42,18.5,32,20,32,43,M,
084,77,34,42,18.5,34,21,34,46,M,
085,67,36,44,19,30,18,30,40,M,
086,70,36,44,19,30,18,30,40,M,
087,70,36,44,19,30,18,30,40,M,
088,70,36,44,19,30,18,30,40,M,
089,70,36,44,19,30,18,30,40,M,
090,72,36,44,19,32,19,32,43,M,
091,71,36,44,19,32,19,32,43,M,
092,74,36,44,19,32,19,32,43,M,
093,67,38,46,19,30,18,30,40,M,
094,70,40,46,19,30,18,30,40,M,
095,70,40,46,19,30,18,30,40,M,
096,70,40,46,19,30,18,30,40,M,
097,74,38,46,19,32,19,32,43,M,
098,74,40,46,19,32,19,32,43,M,
099,68,42,48,19.5,30,18,30,40,M,
100,67,42,48,19.5,30,18,30,40,M,
101,70,42,48,19.5,30,18,30,40,M,
102,67,42,48,19.5,30,18,30,40,M,
103,70,42,48,19.5,30,18,30,40,M,
104,73,42,48,19.5,32,19,32,43,M,
105,74,42,48,19.5,32,19,32,43,M,
106,77,40,48,19.5,34,20,34,46,M,
107,66,44,50,19.5,28,16,28,37,M,
108,67,44,50,19.5,30,18,30,40,M,
109,70,44,50,19.5,30,18,30,40,M,
110,67,44,50,19.5,30,18,30,40,M,
111,70,44,50,19.5,30,18,30,40,M,
112,74,44,50,19.5,32,19,32,43,M,
113,74,44,50,19.5,32,19,32,43,M,
114,70,46,52,20,30,18,30,40,M,
115,70,46,52,20,30,18,30,40,M,
116,74,46,52,20,32,18,30,41,M,
117,70,48,54,20,30,18,30,40,M,
